,topic_id,prompt,comment
0,APPSTD00100,APPSTD00100 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบ User Name และ Password  ตัวพิมพ์เล็ก พิมพ์ใหญ่ต่าง ๆ ต้องเหมือนกับที่สำนักงาน  คปภ. กำหนด
1,APPSTD00200,APPSTD00200 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบเวอร์ณชั่นของเอกกสารที่นำส่ง กรณีส่งช่องทาง Upload ตรวจสอบกับชื่อไฟล์ /กรณีส่งช่องทาง Web Service ตรวจสอบกับ  Tag StructureInfo
2,APPSTD01000,APPSTD01000 กลุ่มข้อผิดพลาดด้านเทคนิค,เฉพาะกรณีส่งช่องทาง Web Service ตรวจสอบ  Paremeter  ต้องส่งมาครบถ้วนตามที่ระบบต้องการ
3,APPSTD01100,APPSTD01100 กลุ่มข้อผิดพลาดด้านเทคนิค,ระบบมีข้อผิดพลาดกรุณาติดต่อผู้ดูแลระบบ
4,APPSTD01200,APPSTD01200 กลุ่มข้อผิดพลาดด้านเทคนิค,กรณีส่งช่องทาง Upload ตรวจสอบกับชื่อไฟล์ /กรณีส่งช่องทาง Web Service ตรวจสอบกับ  Tag StructureInfo เป็นไปตามที่ สำนักงาน คปภ.กำหนด
5,APPSTD01600,APPSTD01600 กลุ่มข้อผิดพลาดด้านเทคนิค,กรณีส่งช่องทาง Upload ตรวจสอบกับชื่อไฟล์ /กรณีส่งช่องทาง Web Service ตรวจสอบกับ Tag StructureInfo   นำไปค้นหากับรายการที่นำส่งสำเร็จก่อนหน้าพบว่าเคยมีการนำส่งมาก่อน  ดังนั้นต้องนำส่งไฟล์ หรือ Tag StructureInfo  ที่ยังไม่เคยมีการนำส่งมาก่อน
6,APPSTD01700,APPSTD01700 กลุ่มข้อผิดพลาดด้านเทคนิค,"ตรวจสอบกับ Transaction Status   ที่เป็น U , C   ReferenceNumber  ไม่มีการระบุค่า"
7,APPSTD01900,APPSTD01900 กลุ่มข้อผิดพลาดด้านเทคนิค,TransactionStatus Node หลักมีค่าเป็น ‘N’ แต่ Transaction Node ย่อยมีค่าอื่นที่ไม่ใช่ ‘N’ ตรวจสอบ Transaction ใน Node ย่อย ควรจะต้องมีค่าเป็น ‘N’ ตาม Node หลัก
8,APPSTD02200,APPSTD02200 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบ  XML Header  ต้องระบุค่า และเป็นไปตามข้อกำหนดของ สำนักงาน คปภ
9,APPSTD02300,APPSTD02300 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบกับ Transaction Status ห้ามเป็นค่าว่าง
10,APPSTD02400,APPSTD02400 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบกับ Transaction Status = N  ReferenceNumbers  ห้ามระบุค่า
11,APPSTD02500,APPSTD02500 กลุ่มข้อผิดพลาดด้านเทคนิค,"ตรวจสอบกับ Transaction Status   ที่เป็น U , C   ระบุReferenceNumber  จะไปตรวจสอบค่าของตีย์หลักตามโครงสร้าง ในฐานกับข้อมูล กับ ค่าที่ส่ง ถ้าไม่ตรงกัน แจ้งเป็น Error"
12,APPSTD02600,APPSTD02600 กลุ่มข้อผิดพลาดด้านเทคนิค,"TransactionStatus ไม่ใช่  N,U,C  ต้องระบุให้ถูกต้อง"
13,APPSTD02700,APPSTD02700 กลุ่มข้อผิดพลาดด้านเทคนิค,กรณีส่งช่องทาง Web Service   มีการส่งข้อมูลซ้ำกันเกิน 3 ครั้ง ตรวจสอบจากคีย์หลักที่ใช้ในการนำส่ง หรือ ทางบริษัทประกันภัยตรวจสอบวิธีการนำส่งข้อมูลอีกครั้ง
14,APPSTD02800,APPSTD02800 กลุ่มข้อผิดพลาดด้านเทคนิค,กรณีส่งช่องทาง Upload ตรวจสอบกับชื่อไฟล์ / กรณีส่งช่องทาง ตรวจสอบกับ  Tag StructureInfo  รหัสบริษัทต้องเป็นไปตามที่สำนักงาน  คปภ.กำหนด
15,APPSTD02900,APPSTD02900 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบ  Encoding  ของเนื้อไฟล์ที่นำส่ง ต้องกำหนดให้เป็น UTF-8
16,APPSTD03000,APPSTD03000 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบข้อมูลที่เป็นคีย์หลักกรณีที่เป็นค่าว่าง
17,APPSTD03100,APPSTD03100 กลุ่มข้อผิดพลาดด้านเทคนิค,ตรวจสอบ  XML Node ต้องมีการส่ง  XML Node  หลักเสมอ ห้ามขาด
18,APPSTD05100,APPSTD05100 กลุ่มข้อผิดพลาดด้านเทคนิค,XML  ไฟล์ มีปํญหา  ให้ทดสอบโดยการเปิด กับ  IE
19,APPSTD05110,APPSTD05110 กลุ่มข้อผิดพลาดด้านเทคนิค,XML  ไฟล์มีปํญหา  ให้ทดสอบโดยการเปิด กับ  IE
20,APPSTD09003,APPSTD09003 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ข้อมูลไม่สามารถแตก  Zip ได้
21,APPSTD09004,APPSTD09004 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ข้อมูลไม่สามารถถอดรหัสได้
22,APPSTD09005,APPSTD09005 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ไม่พบ digital  Signature  ในข้อมูลที่นำส่ง
23,APPSTD09006,APPSTD09006 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : digital  Signature  มากกว่า 1 ค่า ในข้อมูลที่นำส่ง
24,APPSTD09007,APPSTD09007 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : digital  Signature  ไม่ถูกต้อง
25,APPSTD09009,APPSTD09009 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : CA ที่ใช้ในการนำส่งถูกเพิกถอน
26,APPSTD09010,APPSTD09010 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ใช้  CA  ที่ไม่ได้มีการติดตั้งลงที่เครื่องลูกข่ายในการนำส่งข้อมูล ทำการติดตั้งใบรับรองโดยติดตั้งจากไฟล์ .p12
27,APPSTD09011,APPSTD09011 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ใช้  CA  ล่วงหน้าก่อนวันเริ่มใช้งานมานำส่งข้อมูล
28,APPSTD09012,APPSTD09012 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : CA หมดอายุ ดำเนินการต่ออายุ หรือจัดซื้อใบรับรองฉบับมานำมาลงทะเบียนทดแทนตัวเดิม  
29,APPSTD09013,APPSTD09013 กลุ่มข้อผิดพลาดด้านเทคนิค,PKI : ไม่สามารถ Check CA  online  ได้ /  CA  ไม่ถูกต้อง แนะนำให้ติดต่อผู้ให้บริการเพื่อดำเนินการตรวจสอบสถานะ
30,APPSTD09092,APPSTD09092 กลุ่มข้อผิดพลาดด้านเทคนิค,สำหรับการนำส่ง 2 Way : User name / Password / IP  ไม่ถูกต้อง  ตรวจสอบค่าที่ใช้ในการนำส่ง User name  /  Password / หมายเลข  IP Address  เครื่องที่ใช้ในการนำส่ง ได้แจ้งลงทะเบียนไว้ในระบบ  IBS  แล้วหรือไม่
31,APPSTD09094,APPSTD09094 กลุ่มข้อผิดพลาดด้านเทคนิค,สำหรับการนำส่ง 2 Way : Internal  ไม่สามารถเชื่อมต่อกับญานข้อมูลเพื่อตรวจสอบการ Authen
